what,kind,bundleId,bundleVersion,description,time
started,bundle,org.maven.ide.eclipse.editor,0.12.0.20101115-1102,"org.maven.ide.eclipse.editor",1290798066623
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1290798066766
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1290798074305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798079872
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1290798083972
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1290798084284
error,log,,,"Ant Build Failed",1290798103912
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1290798104112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798104137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798104288
started,bundle,org.maven.ide.eclipse.launching,0.12.0.20101115-1102,"org.maven.ide.eclipse.launching",1290798104849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798104949
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290798107141
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProgressView",1290798111754
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProgressView",1290798111778
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1290798113526
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1290798122298
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1290798126557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798135003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798135006
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798135073
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1290798144033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798144050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798176022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798187285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798191778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798274944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1290798280343
